action, angle, velocity, Q
Off, 0, 0, 0
Off, 0, 1, 0
Off, 0, 2, 0
Off, 0, 3, 0
Off, 0, 4, 0
Off, 0, 5, 0
Off, 0, 6, 0
Off, 0, 7, 0
Off, 0, 8, 0
Off, 0, 9, 0
Off, 0, 10, 0
Off, 0, 11, 0
Off, 0, 12, 0
Off, 0, 13, 0
Off, 0, 14, 0
Off, 0, 15, 0
Off, 0, 16, -44.6112
Off, 0, 17, 0
Off, 0, 18, -39.7047
Off, 0, 19, -36.668
Off, 0, 20, 0
Off, 0, 21, 0
Off, 0, 22, 0
Off, 0, 23, -27.1112
Off, 0, 24, -26.2542
Off, 0, 25, -24.1998
Off, 0, 26, 0
Off, 0, 27, -20.8637
Off, 0, 28, -18.1259
Off, 0, 29, -16.9431
Off, 0, 30, 0
Off, 0, 31, -14.0915
Off, 0, 32, -12.388
Off, 0, 33, -10.3773
Off, 0, 34, -9.66817
Off, 0, 35, -8.28933
Off, 0, 36, -7.20857
Off, 0, 37, -6.63846
Off, 0, 38, 0
Off, 0, 39, -4.04192
Off, 0, 40, 0
Off, 0, 41, -2.65291
Off, 0, 42, -2.49663
Off, 0, 43, 0
Off, 0, 44, 0
Off, 0, 45, 0
Off, 0, 46, -0.515263
Off, 0, 47, -0.227184
Off, 0, 48, -0.0776229
Off, 0, 49, -0.00838205
Off, 0, 50, -0.00150883
Off, 0, 51, -0.153214
Off, 0, 52, -0.289864
Off, 0, 53, -0.617424
Off, 0, 54, -0.839889
Off, 0, 55, -1.00995
Off, 0, 56, -1.93599
Off, 0, 57, 0
Off, 0, 58, -7.46843
Off, 0, 59, -3.67423
Off, 0, 60, -4.70687
Off, 0, 61, -5.05181
Off, 0, 62, -6.13084
Off, 0, 63, 0
Off, 0, 64, -8.2307
Off, 0, 65, -10.0997
Off, 0, 66, 0
Off, 0, 67, -12.8062
Off, 0, 68, 0
Off, 0, 69, 0
Off, 0, 70, -17.4486
Off, 0, 71, -18.4481
Off, 0, 72, -19.9972
Off, 0, 73, -22.8545
Off, 0, 74, -23.3845
Off, 0, 75, -26.7677
Off, 0, 76, 0
Off, 0, 77, -30.4144
Off, 0, 78, -33.0465
Off, 0, 79, 0
Off, 0, 80, 0
Off, 0, 81, -38.9534
Off, 0, 82, -43.1123
Off, 0, 83, 0
Off, 0, 84, -48.5826
Off, 0, 85, 0
Off, 0, 86, 0
Off, 0, 87, 0
Off, 0, 88, 0
Off, 0, 89, -64.0479
Off, 0, 90, 0
Off, 0, 91, -69.9308
Off, 0, 92, 0
Off, 0, 93, 0
Off, 0, 94, 0
Off, 0, 95, 0
Off, 0, 96, 0
Off, 0, 97, -89.8024
Off, 0, 98, 0
Off, 0, 99, 0
Off, 1, 0, 0
Off, 1, 1, 0
Off, 1, 2, 0
Off, 1, 3, 0
Off, 1, 4, 0
Off, 1, 5, 0
Off, 1, 6, 0
Off, 1, 7, 0
Off, 1, 8, 0
Off, 1, 9, 0
Off, 1, 10, 0
Off, 1, 11, 0
Off, 1, 12, 0
Off, 1, 13, 0
Off, 1, 14, 0
Off, 1, 15, 0
Off, 1, 16, 0
Off, 1, 17, 0
Off, 1, 18, -40.4636
Off, 1, 19, 0
Off, 1, 20, 0
Off, 1, 21, -31.7932
Off, 1, 22, 0
Off, 1, 23, 0
Off, 1, 24, 0
Off, 1, 25, -23.9224
Off, 1, 26, -22.2328
Off, 1, 27, 0
Off, 1, 28, 0
Off, 1, 29, -16.5341
Off, 1, 30, 0
Off, 1, 31, 0
Off, 1, 32, -12.6749
Off, 1, 33, 0
Off, 1, 34, 0
Off, 1, 35, 0
Off, 1, 36, 0
Off, 1, 37, 0
Off, 1, 38, -5.56263
Off, 1, 39, -4.65263
Off, 1, 40, -3.60269
Off, 1, 41, 0
Off, 1, 42, 0
Off, 1, 43, 0
Off, 1, 44, -1.03869
Off, 1, 45, 0
Off, 1, 46, -0.517023
Off, 1, 47, -0.34727
Off, 1, 48, -0.162108
Off, 1, 49, -0.0218032
Off, 1, 50, -0.0315059
Off, 1, 51, -0.101068
Off, 1, 52, -0.194466
Off, 1, 53, -0.41101
Off, 1, 54, -0.720243
Off, 1, 55, -1.03964
Off, 1, 56, -1.59763
Off, 1, 57, -2.03595
Off, 1, 58, -5.79901
Off, 1, 59, -3.733
Off, 1, 60, -4.46204
Off, 1, 61, 0
Off, 1, 62, 0
Off, 1, 63, -7.53532
Off, 1, 64, -8.3715
Off, 1, 65, -10.1913
Off, 1, 66, -11.0439
Off, 1, 67, -11.8596
Off, 1, 68, 0
Off, 1, 69, -15.6725
Off, 1, 70, 0
Off, 1, 71, -18.4905
Off, 1, 72, 0
Off, 1, 73, -22.2928
Off, 1, 74, 0
Off, 1, 75, -26.9399
Off, 1, 76, 0
Off, 1, 77, -30.1114
Off, 1, 78, -32.1672
Off, 1, 79, -35.8278
Off, 1, 80, 0
Off, 1, 81, -38.6181
Off, 1, 82, -42.8823
Off, 1, 83, 0
Off, 1, 84, 0
Off, 1, 85, 0
Off, 1, 86, -54.1085
Off, 1, 87, 0
Off, 1, 88, 0
Off, 1, 89, -62.4585
Off, 1, 90, -65.1057
Off, 1, 91, -70.5303
Off, 1, 92, 0
Off, 1, 93, 0
Off, 1, 94, -79.2066
Off, 1, 95, 0
Off, 1, 96, 0
Off, 1, 97, 0
Off, 1, 98, 0
Off, 1, 99, 0
Off, 2, 0, 0
Off, 2, 1, 0
Off, 2, 2, 0
Off, 2, 3, 0
Off, 2, 4, 0
Off, 2, 5, 0
Off, 2, 6, 0
Off, 2, 7, -70.7403
Off, 2, 8, 0
Off, 2, 9, 0
Off, 2, 10, 0
Off, 2, 11, 0
Off, 2, 12, 0
Off, 2, 13, 0
Off, 2, 14, 0
Off, 2, 15, 0
Off, 2, 16, 0
Off, 2, 17, -41.7038
Off, 2, 18, -40.0287
Off, 2, 19, 0
Off, 2, 20, 0
Off, 2, 21, -31.3351
Off, 2, 22, -30.2081
Off, 2, 23, -27.1302
Off, 2, 24, -26.7421
Off, 2, 25, -24.4415
Off, 2, 26, -22.4177
Off, 2, 27, 0
Off, 2, 28, 0
Off, 2, 29, -16.9697
Off, 2, 30, -14.4041
Off, 2, 31, -12.9564
Off, 2, 32, 0
Off, 2, 33, -11.0365
Off, 2, 34, 0
Off, 2, 35, -8.76346
Off, 2, 36, 0
Off, 2, 37, -5.85589
Off, 2, 38, 0
Off, 2, 39, -4.73149
Off, 2, 40, -3.74957
Off, 2, 41, -3.06903
Off, 2, 42, 0
Off, 2, 43, 0
Off, 2, 44, -1.26504
Off, 2, 45, -0.760872
Off, 2, 46, 0
Off, 2, 47, -0.336661
Off, 2, 48, -0.0884865
Off, 2, 49, -0.0433675
Off, 2, 50, -0.0638591
Off, 2, 51, 0
Off, 2, 52, 0
Off, 2, 53, -0.660397
Off, 2, 54, -0.71792
Off, 2, 55, -2.33999
Off, 2, 56, 0
Off, 2, 57, -2.37109
Off, 2, 58, -3.09784
Off, 2, 59, -3.6668
Off, 2, 60, -4.70231
Off, 2, 61, -4.97039
Off, 2, 62, -6.46868
Off, 2, 63, -7.01631
Off, 2, 64, 0
Off, 2, 65, -9.12737
Off, 2, 66, 0
Off, 2, 67, -11.7208
Off, 2, 68, -14.3148
Off, 2, 69, -14.98
Off, 2, 70, -16.5529
Off, 2, 71, -17.9807
Off, 2, 72, 0
Off, 2, 73, -23.1822
Off, 2, 74, -23.3737
Off, 2, 75, 0
Off, 2, 76, -27.581
Off, 2, 77, -30.1759
Off, 2, 78, 0
Off, 2, 79, 0
Off, 2, 80, 0
Off, 2, 81, -38.8606
Off, 2, 82, 0
Off, 2, 83, -44.0041
Off, 2, 84, 0
Off, 2, 85, 0
Off, 2, 86, -52.7327
Off, 2, 87, -55.3845
Off, 2, 88, -60.6057
Off, 2, 89, 0
Off, 2, 90, -65.8941
Off, 2, 91, 0
Off, 2, 92, 0
Off, 2, 93, -149.396
Off, 2, 94, -79.166
Off, 2, 95, -83.0044
Off, 2, 96, 0
Off, 2, 97, 0
Off, 2, 98, 0
Off, 2, 99, 0
Off, 3, 0, 0
Off, 3, 1, 0
Off, 3, 2, 0
Off, 3, 3, 0
Off, 3, 4, 0
Off, 3, 5, 0
Off, 3, 6, -74.9934
Off, 3, 7, 0
Off, 3, 8, 0
Off, 3, 9, 0
Off, 3, 10, 0
Off, 3, 11, 0
Off, 3, 12, 0
Off, 3, 13, 0
Off, 3, 14, 0
Off, 3, 15, 0
Off, 3, 16, 0
Off, 3, 17, 0
Off, 3, 18, 0
Off, 3, 19, -36.2802
Off, 3, 20, 0
Off, 3, 21, 0
Off, 3, 22, 0
Off, 3, 23, 0
Off, 3, 24, -25.044
Off, 3, 25, -23.3424
Off, 3, 26, 0
Off, 3, 27, 0
Off, 3, 28, -18.704
Off, 3, 29, 0
Off, 3, 30, -15.2991
Off, 3, 31, 0
Off, 3, 32, -12.8384
Off, 3, 33, -10.5479
Off, 3, 34, -9.32445
Off, 3, 35, -8.16324
Off, 3, 36, -7.68369
Off, 3, 37, -6.6506
